"","datetime","light","twilight","interp","excluded"
"106",2011-06-17 01:24:30,54,0,FALSE,FALSE
"107",2011-06-17 01:34:30,33,0,FALSE,FALSE
"108",2011-06-17 01:44:30,22,0,FALSE,FALSE
"109",2011-06-17 01:54:30,12,0,FALSE,FALSE
"110",2011-06-17 02:02:50,4.5,2,TRUE,FALSE
"111",2011-06-17 02:04:30,3,0,FALSE,FALSE
"112",2011-06-17 02:14:30,3,0,FALSE,FALSE
"113",2011-06-17 02:24:30,3,0,FALSE,FALSE
"114",2011-06-17 02:34:30,3,0,FALSE,FALSE
"115",2011-06-17 02:44:30,3,0,FALSE,FALSE
"116",2011-06-17 02:54:30,3,0,FALSE,FALSE
"117",2011-06-17 03:04:30,3,0,FALSE,FALSE
"118",2011-06-17 03:14:30,3,0,FALSE,FALSE
"119",2011-06-17 03:24:30,3,0,FALSE,FALSE
"120",2011-06-17 03:34:30,3,0,FALSE,FALSE
"121",2011-06-17 03:44:30,3,0,FALSE,FALSE
"122",2011-06-17 03:54:30,3,0,FALSE,FALSE
"123",2011-06-17 04:04:30,3,0,FALSE,FALSE
"124",2011-06-17 04:14:30,3,0,FALSE,FALSE
"125",2011-06-17 04:24:30,3,0,FALSE,FALSE
"126",2011-06-17 04:34:30,3,0,FALSE,FALSE
"127",2011-06-17 04:44:30,3,0,FALSE,FALSE
"128",2011-06-17 04:54:30,3,0,FALSE,FALSE
"129",2011-06-17 05:04:30,3,0,FALSE,FALSE
"130",2011-06-17 05:14:30,3,0,FALSE,FALSE
"131",2011-06-17 05:24:30,3,0,FALSE,FALSE
"132",2011-06-17 05:34:30,3,0,FALSE,FALSE
"133",2011-06-17 05:44:30,3,0,FALSE,FALSE
"134",2011-06-17 05:54:30,3,0,FALSE,FALSE
"135",2011-06-17 06:04:30,3,0,FALSE,FALSE
"136",2011-06-17 06:14:30,3,0,FALSE,FALSE
"137",2011-06-17 06:24:30,3,0,FALSE,FALSE
"138",2011-06-17 06:34:30,3,0,FALSE,FALSE
"139",2011-06-17 06:44:30,3,0,FALSE,FALSE
"140",2011-06-17 06:54:30,3,0,FALSE,FALSE
"141",2011-06-17 07:04:30,3,0,FALSE,FALSE
"142",2011-06-17 07:14:30,3,0,FALSE,FALSE
"143",2011-06-17 07:24:30,3,0,FALSE,FALSE
"144",2011-06-17 07:34:30,3,0,FALSE,FALSE
"145",2011-06-17 07:44:30,3,0,FALSE,FALSE
"146",2011-06-17 07:54:30,3,0,FALSE,FALSE
"147",2011-06-17 08:04:30,3,0,FALSE,FALSE
"148",2011-06-17 08:14:30,3,0,FALSE,FALSE
"149",2011-06-17 08:24:30,3,0,FALSE,FALSE
"150",2011-06-17 08:34:30,3,0,FALSE,FALSE
"151",2011-06-17 08:44:30,3,0,FALSE,FALSE
"152",2011-06-17 08:54:30,3,0,FALSE,FALSE
