"","datetime","light","twilight","interp","excluded"
"94","2011-06-23T08:24:00.000Z",113,0,FALSE,FALSE
"95","2011-06-23T08:34:00.000Z",113,0,FALSE,FALSE
"96","2011-06-23T08:44:00.000Z",113,0,FALSE,FALSE
"97","2011-06-23T08:54:00.000Z",113,0,FALSE,FALSE
"98","2011-06-23T09:04:00.000Z",113,0,FALSE,FALSE
"99","2011-06-23T09:14:00.000Z",113,0,FALSE,FALSE
"100","2011-06-23T09:24:00.000Z",113,0,FALSE,FALSE
"101","2011-06-23T09:34:00.000Z",66,0,FALSE,FALSE
"102","2011-06-23T09:44:00.000Z",102,0,FALSE,FALSE
"103","2011-06-23T09:54:00.000Z",117,0,FALSE,FALSE
"104","2011-06-23T10:04:00.000Z",117,0,FALSE,FALSE
"105","2011-06-23T10:14:00.000Z",117,0,FALSE,FALSE
"106","2011-06-23T10:24:00.000Z",117,0,FALSE,FALSE
"107","2011-06-23T10:34:00.000Z",117,0,FALSE,FALSE
"108","2011-06-23T10:44:00.000Z",117,0,FALSE,FALSE
"109","2011-06-23T10:54:00.000Z",95,0,FALSE,FALSE
"110","2011-06-23T11:04:00.000Z",95,0,FALSE,FALSE
"111","2011-06-23T11:14:00.000Z",114,0,FALSE,FALSE
"112","2011-06-23T11:24:00.000Z",55,0,FALSE,FALSE
"113","2011-06-23T11:34:00.000Z",107,0,FALSE,FALSE
"114","2011-06-23T11:44:00.000Z",127,0,FALSE,FALSE
"115","2011-06-23T11:54:00.000Z",96,0,FALSE,FALSE
"116","2011-06-23T12:04:00.000Z",77,0,FALSE,FALSE
"117","2011-06-23T12:14:00.000Z",93,0,FALSE,FALSE
"118","2011-06-23T12:24:00.000Z",50,0,FALSE,FALSE
"119","2011-06-23T12:34:00.000Z",64,0,FALSE,FALSE
"120","2011-06-23T12:44:00.000Z",51,0,FALSE,FALSE
"121","2011-06-23T12:54:00.000Z",51,0,FALSE,FALSE
"122","2011-06-23T13:04:00.000Z",51,0,FALSE,FALSE
"123","2011-06-23T13:14:00.000Z",75,0,FALSE,FALSE
