datetime,light,twilight,interp,excluded
2010-07-28T15:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T15:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T15:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T15:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T15:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T16:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T16:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T16:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T16:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T16:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T16:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T17:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T17:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T17:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T17:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T17:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T17:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T18:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T18:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T18:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T18:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T18:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T18:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T19:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T19:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T19:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T19:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T19:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T19:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T20:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T20:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T20:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T20:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T20:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T20:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T21:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T21:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T21:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T21:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T21:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T21:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T22:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T22:14:30.000Z,64,0,FALSE,FALSE
2010-07-28T22:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T22:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T22:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T22:54:30.000Z,64,0,FALSE,FALSE
2010-07-28T23:04:30.000Z,64,0,FALSE,FALSE
2010-07-28T23:14:30.000Z,64,0,FALSE,FALSE
